index,url,reason
0,https://itazuraneko.neocities.org/library/manga.html,The requested web page was not found on this site.
2,https://docs.google.com/document/d/1Pxa73ak04STqHRbhg37-4CM2dVAy8W8yLAMJHsyycII/edit?usp=sharing,Error message when trying to access a Google Doc with JavaScript disabled or an outdated browser
8,nan,nan
9,nan,nan
17,https://www.spigotmc.org/wiki/spigot-plugin-development/,Enable JavaScript and cookies to continue
30,https://www.kana.pro/>,"The 404 Not Found Error is an HTTP standard response code indicating that the webpage or URL requested cannot be found on the server. This error is often caused by a broken or dead link, a mistyped URL, or content that has been moved or deleted."
31,https://mochidemy.com/kana/>,A 404 error page is a standard HTTP error code that means the webpage or URL was not found on the server.
32,https://pubhtml5.com/lnwz/pids/Mastering_Kanji_1500/>,PubHTML5 site will be inoperative during the times indicated
33,https://kanji.koohii.com/>,Error generated by Mod_Security for requested resource
37,https://jisho.org/>,Error page for Jisho.org
39,https://kotobank.jp/>,"Error page for Kotobank, a Japanese online dictionary and encyclopedia"
41,https://www.japanesepod101.com/>,"Error message received when trying to access a website or app, possibly due to high traffic or configuration error."
44,https://www.memrise.com/>,A language learning platform
45,https://www.ajalt.org/english/online/>,The requested URL was not found on this server.
47,https://www3.nhk.or.jp/news/easy/>,NHK NEWS WEB page using JavaScript
49,https://lrnj.com/>,"Error message for no route matches [GET] ""/>"
52,https://www.jpdrills.com/>,An error generated by Mod_Security indicating that an appropriate representation of the requested resource could not be found on the server.
53,https://github.com/Developer-Y/cs-video-courses,A collection of video courses on computer science
55,https://www.shadertoy.com/,Error 403 Forbidden on ShaderToy
70,https://hastie.su.domains/Papers/ESLII.pdf,The requested URL was not found on this server.
83,https://kotlinlang.org/docs/reference/using-gradle.html,Using Gradle with Kotlin
89,https://youtrack.jetbrains.com/issues/KT/,Error message for unsupported browser version
94,https://trio.readthedocs.io/en/stable/tutorial.html,Trio tutorial and documentation
96,http://magic.io/blog/uvloop-blazing-fast-python-networking/tcp-bench.html,Results of testing network server implementations
104,https://doc.pypy.org/en/latest/extending.html),PyPy documentation page not found
107,https://gist.github.com/seanjensengrey/f5d73bbdf22cfa1ad463),Not Found
114,https://otexts.com/fpp3/,Access to this page is forbidden.
128,https://courses.edx.org/courses/course-v1:ColumbiaX+CSMM.102x+1T2017/course/,"The provided text is a link to a course on edX, but the text itself is empty. However, based on the link, the course is CSMM.102x from ColumbiaX. Assuming the course is about computer science, the tags could be:"
132,https://gist.github.com/Okimii/0b6e5dcfcfb895ef613ac59a4ecc096a,Not Found
133,https://gist.github.com/Ash-02014/b6f57065f394b54f43666037ade38d32,Not Found
134,https://support-dev.discord.com/hc/en-us/articles/4404772028055,Enable JavaScript and cookies to continue
135,http://www.unicode-symbol.com/u/001B.html,The HTTP status code for 504 Gateway Time-out
137,https://media.discordapp.net/attachments/739937507768270939/969283562731872306/ANSI-Colors.png,This content is no longer available.
139,https://discordpy.readthedocs.io/en/latest/ext/commands/api.html#discord.ext.commands.Bot.get_command,API documentation for discord.py Bot.get_command
144,https://www.scaleway.com/,Cloud computing platform
146,https://www.ovh.co.uk/,OVH documentation page
153,https://github.com/Rapptz/discord.py/projects/3,Project 3 from discord.py
157,https://discordpy.readthedocs.io/en/stable/ext/commands/api.html#discord.ext.commands.Bot.wait_for,API documentation for discord.py Bot.wait_for function
158,nan,nan
160,nan,nan
161,nan,nan
171,https://media.discordapp.net/attachments/336642776609456130/776070065694048276/s6ONfwUye1.png,This content is no longer available.
178,https://github.com/python-discord/esoteric-python-challenges/tree/master/challenges/10-code-obfuscator,A challenge to create a code obfuscator
185,https://pythondiscord.com/jams,A 404 page for Python Discord Jams
217,https://tkdocs.com/,TkDocs tutorial and guide
284,nan,nan
289,https://docs.google.com/presentation/d/1U5-X5c4XeUBLdbsndcxcXWrJ3K9sOkrCApOq0sD4oqY/mobilepresent?slide=id.g2509963772f_0_123,Error message when JavaScript is not enabled in the browser
297,https://mainnet.helius-rpc.com/?api-key=a2c09f06-55fb-4ea5-861b-7ee8c8e0b20f,Error response from Helius RPC API
300,https://courses.nvidia.com/courses/course-v1:DLI+S-FX-15+V1/,Nvidia Deep Learning Institute is currently down for maintenance while performing an upgrade.
316,https://pocoproject.org/,POCO C++ Libraries
318,https://matt-42.github.io/lithium/,A web application that requires JavaScript to run
324,https://medium.com/@nathancooperjones/these-bored-apes-do-not-exist-6bed2c73f02c,Article about Bored Apes
329,https://dezoomcamp.streamlit.app/Course%20Overview,You need to enable JavaScript to run this app.
336,https://blog.tensorflow.org/2020/03/exploring-helpful-uses-for-bert-in-your-browser-tensorflow-js.html?m=1,Using BERT in your browser with TensorFlow.js
341,https://dezoomcamp.streamlit.app,You need to enable JavaScript to run this app.
